result,player_prop,matchup,actual,line,confidence,quick_note
PUSH,Blake Snell Over 6.5 K,LAD @ LAA,VOID,6.5,64%,"Blake Snell did not start/pitch; Will Klein started for LAD, so this prop should be no action/void."
MISS,Spencer Strider Over 6.5 K,BOS @ ATL,4,6.5,63%,"Spencer Strider recorded 4 strikeouts vs BOS, falling short of O 6.5 K."
MISS,Edward Cabrera Over 5.5 K,CHC @ CWS,2,5.5,60%,"Edward Cabrera recorded 2 strikeouts vs CWS, falling short of O 5.5 K."
MISS,Shane Baz Over 4.5 K,BAL @ WSH,4,4.5,60%,"Shane Baz recorded 4 strikeouts vs WSH, falling short of O 4.5 K."
HIT,Clay Holmes Over 4.5 K,NYY @ NYM,8,4.5,58%,"Clay Holmes recorded 8 strikeouts vs NYY, clearing O 4.5 K."
HIT,Nick Kurtz Over 1.5 TB,SF @ ATH,4,1.5,62%,"Nick Kurtz recorded 4 total bases with a home run, clearing O 1.5 TB."
HIT,Mickey Moniak Over 1.5 TB,ARI @ COL,2,1.5,61%,"Mickey Moniak recorded 2 total bases, clearing O 1.5 TB."
MISS,Ketel Marte Over 1.5 TB,ARI @ COL,0,1.5,60%,"Ketel Marte recorded 0 total bases, falling short of O 1.5 TB."
HIT,Bryce Harper Over 1.5 TB,PHI @ PIT,4,1.5,57%,"Bryce Harper recorded 4 total bases, clearing O 1.5 TB."
MISS,Liam Hicks Over 0.5 HR,MIA @ TB,0,0.5,52%,"Liam Hicks did not hit a home run, falling short of O 0.5 HR."
