group,value,wins,losses,pushes,pending,graded_picks,hit_rate
overall,all,19,14,0,9,33,0.576
type,NRFI,11,7,0,4,18,0.611
type,PROP,8,7,0,5,15,0.533
market,FIRST_INNING_RUNS,11,7,0,4,18,0.611
market,K,8,7,0,5,15,0.533
pick,NRFI,11,7,0,4,18,0.611
pick,OVER,8,4,0,5,12,0.667
pick,UNDER,0,3,0,0,3,0.000
model_version,ace_logic_v1,9,6,0,0,15,0.600
model_version,ace_logic_v2,6,4,0,0,10,0.600
model_version,ace_logic_v3,4,4,0,0,8,0.500
model_version,ace_logic_v4,0,0,0,9,0,0.000
confidence_bucket,50-54,3,2,0,0,5,0.600
confidence_bucket,55-59,8,4,0,4,12,0.667
confidence_bucket,60-64,7,7,0,5,14,0.500
confidence_bucket,65-69,1,1,0,0,2,0.500
